authentication_required,authors_or_source,category,checkpoint_name,compatibility_reason,component_compatible,display_name,download_status,download_strategy,downloadable,failure_reason,huggingface_repo,input_format,license,license_status,local_checkpoint_path,model_name,official_repo_url,parameter_count,patch_tokens,resolution,role,supports_external_inputs_embeds,trained_on,visual_representation
UNKNOWN; check model card,https://github.com/Stanford-AIMI/CheXagent,decoder,model files in Hugging Face repository,external visual embedding interface must be verified,False,RadPhi-2 / CheXagent radiology language model,NOT_DOWNLOADED,huggingface_snapshot,YES,No download attempted or official source is unverified,StanfordAIMI/RadPhi-2,MODEL-SPECIFIC; verify official processor,model-card terms; verify before redistribution,model-card terms; verify before redistribution,cache/models/radphi2,radphi2,https://github.com/Stanford-AIMI/CheXagent,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_specialised_decoder_candidate,unknown,CheXagent radiology instruction/report data,NOT RECORDED UNTIL SANITY TEST
UNKNOWN; check model card,https://github.com/X-iZhang/Libra,decoder,repository model card,native RAD-DINO/TAC/Llama stack,False,Libra v1.0 3B,NOT_DOWNLOADED,huggingface_snapshot,YES,No download attempted or official source is unverified,X-iZhang/libra-v1.0-3b,MODEL-SPECIFIC; verify official processor,model-card terms; verify base Llama license,model-card terms; verify base Llama license,cache/models/libra_3b,libra_3b,https://github.com/X-iZhang/Libra,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_specialised_full_model,False,MIMIC-CXR,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,https://github.com/ChantalMP/RaDialog,decoder,vicuna-7b-img-report/checkpoint-11200,published checkpoint includes a project-specific image embedding path,False,RaDialog-RG,NOT_DOWNLOADED,official_repo_manual,YES,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,base Vicuna and project terms; verify before redistribution,base Vicuna and project terms; verify before redistribution,cache/models/radialog_rg,radialog_rg,https://github.com/ChantalMP/RaDialog,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_specialised_decoder_candidate,unknown,MIMIC-CXR reports,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,decoder,,native projector and decoder pairing must be preserved,False,LLaVA-Rad,NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/llava_rad,llava_rad,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_specialised_full_model,unknown,radiology/CXR data reported by authors,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,https://github.com/mbzuai-oryx/XRayGPT,decoder,project configuration references Vicuna/Minigpt-4 components,full multimodal architecture; no clean decoder-only release verified,False,XrayGPT,NOT_DOWNLOADED,official_repo_manual,YES,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,base-model and project terms; verify before redistribution,base-model and project terms; verify before redistribution,cache/models/xraygpt,xraygpt,https://github.com/mbzuai-oryx/XRayGPT,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,cxr_specialised_full_model,unknown,MIMIC-CXR reported by authors,NOT RECORDED UNTIL SANITY TEST
UNKNOWN; check model card,NOT VERIFIED,decoder,model-card checkpoint if accessible,evaluate as complete model only,False,MAIRA-2,NOT_DOWNLOADED,huggingface_snapshot,YES,No download attempted or official source is unverified,microsoft/maira-2,MODEL-SPECIFIC; verify official processor,model-card terms; verify access,model-card terms; verify access,cache/models/maira2,maira2,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,complete_external_baseline,False,radiology/CXR data reported by authors,NOT RECORDED UNTIL SANITY TEST
UNKNOWN; check model card,https://github.com/Stanford-AIMI/CheXagent,full_model,repository model card,,,CheXagent-2-3B SRRG Findings,NOT_DOWNLOADED,huggingface_snapshot,YES,No download attempted or official source is unverified,StanfordAIMI/CheXagent-2-3b-srrg-findings,MODEL-SPECIFIC; verify official processor,model-card terms; verify before redistribution,model-card terms; verify before redistribution,cache/models/chexagent2_srrg_findings,chexagent2_srrg_findings,https://github.com/Stanford-AIMI/CheXagent,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,complete_external_baseline,,CheXagent chest-X-ray/radiology data,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,full_model,official project checkpoint requires verification,,,R2Gen IU checkpoint,NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/r2gen_iu,r2gen_iu,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,complete_external_baseline,,IU/OpenI,NOT RECORDED UNTIL SANITY TEST
UNKNOWN,NOT VERIFIED,full_model,official project checkpoint requires verification,,,R2GenCMN IU checkpoint,NOT_DOWNLOADED,manual_verification_required,UNKNOWN,No download attempted or official source is unverified,,MODEL-SPECIFIC; verify official processor,UNVERIFIED,UNVERIFIED,cache/models/r2gencmn_iu,r2gencmn_iu,,NOT RECORDED UNTIL CONFIG IS LOADED,UNKNOWN,MODEL-SPECIFIC; verify official processor,complete_external_baseline,,IU/OpenI,NOT RECORDED UNTIL SANITY TEST

